Key,en,es,ar,hi,fr
Dashboard,Dashboard,Panel,لوحة القيادة,डैशबोर्ड,Tableau de bord
Default,Default,Por defecto,تقصير,गलती करना,Défaut
Setup Currency,Setup Currency,Moneda de configuración,الإعداد العملة,सेटअप मुद्रा,Devise de configuration
Campaigns,Campaigns,Campañas,الحملات,अभियान,Campagnes
Events,Events,Eventos,الأحداث,घटनाएँ,Événements
Language created successfully!,Language created successfully!,¡Lenguaje creado con éxito!,اللغة التي تم إنشاؤها بنجاح!,भाषा सफलतापूर्वक बनाई गई!,Langue créée avec succès !
Transactions & Log,Transactions & Log,Transacciones y registro,المعاملات والسجل,लेन-देन और लॉग,Transactions et journal
Add Money Logs,Add Money Logs,Agregar registros de dinero,أضف سجلات الأموال,मनी लॉग्स जोड़ें,Ajouter des journaux d'argent
Pending Logs,Pending Logs,Registros pendientes,سجلات معلقة,लंबित लॉग,Journaux en attente
Donation Logs,Donation Logs,Registros de donación,سجلات التبرع,दान लॉग,Journaux de dons
User Care,User Care,Cuidado de los usuarios,رعاية المستخدم,उपयोगकर्ता देखभाल,Entretien utilisateur
Active Users,Active Users,Usuarios activos,المستخدمين النشطين,सक्रिय उपयोगकर्ता,Utilisateurs actifs
Email Unverified,Email Unverified,Correo electrónico no verificado,البريد الإلكتروني غير التحقق,ईमेल असत्यापित,E-mail non vérifié
All Users,All Users,Todos los usuarios,جميع المستخدمين,सभी उपयोगकर्ता,Tous les utilisateurs
Email To Users,Email To Users,Correo electrónico a los usuarios,البريد الإلكتروني للمستخدمين,उपयोगकर्ताओं को ईमेल करें,Envoyer un e-mail aux utilisateurs
Banned Users,Banned Users,Usuarios prohibidos,المستخدمين المحظورون,प्रतिबंधित उपयोगकर्ता,Utilisateurs bannis
Admin Care,Admin Care,Atención administrativa,رعاية المسؤول,व्यवस्थापक देखभाल,Soins administratifs
All Admin,All Admin,Todos los administradores,كل المشرف,सभी व्यवस्थापक,Tous les administrateurs
Admin Role,Admin Role,Rol de administrador,دور المسؤول,व्यवस्थापक भूमिका,Rôle d'administrateur
Role Permission,Role Permission,Permiso de rol,إذن الدور,भूमिका की अनुमति,Autorisation de rôle
Email To Admin,Email To Admin,Correo electrónico al administrador,البريد الإلكتروني إلى المسؤول,एडमिन को ईमेल करें,Envoyer un e-mail à l'administrateur
Subscriber,Subscriber,Abonado,المشترك,ग्राहक,Abonné
Contact Messages,Contact Messages,Mensajes de contacto,اتصل بالرسائل,संपर्क संदेश,Messages de contact
Settings,Settings,Ajustes,إعدادات,सेटिंग्स,Paramètres
Web Settings,Web Settings,Configuración web,إعدادات الويب,वेब सेटिंग्स,Paramètres Web
Basic Settings,Basic Settings,Ajustes básicos,الإعدادات الأساسية,बुनियादी सेटिंग्स,Paramètres de base
Image Assets,Image Assets,Activos de imagen,أصول الصورة,छवि संपत्ति,Actifs d’image
Setup SEO,Setup SEO,Configuración de SEO,إعداد SEO,एसईओ सेटअप करें,Configurer le référencement
App Settings,App Settings,Ajustes de Aplicacion,إعدادات التطبيقات,ऐप सेटिंग्स,Paramètres de l'application
Splash Screen,Splash Screen,Pantalla de bienvenida,شاشة البداية,स्प्लैश स्क्रीन,Écran de démarrage
Onboard Screen,Onboard Screen,Pantalla a bordo,على متن الشاشة,ऑनबोर्ड स्क्रीन,Écran embarqué
App URLs,App URLs,URL de aplicaciones,عناوين URL للتطبيقات,ऐप यूआरएल,URL des applications
Languages,Languages,Lenguas,اللغات,बोली,Langues
Verification Center,Verification Center,Centro de verificación,مركز التحقق,सत्यापन केंद्र,Centre de vérification
Setup Email,Setup Email,Correo electrónico de configuración,إعداد البريد الإلكتروني,सेटअप ईमेल,E-mail de configuration
Email Method,Email Method,Método de correo electrónico,طريقة البريد الإلكتروني,ईमेल विधि,Méthode de courrier électronique
About Section,About Section,Acerca de la sección,حول القسم,अनुभाग के बारे में,À propos de la section
Home Banner,Home,Hogar,لافتة المنزل,घर,Maison
Testimonial Section,Testimonial Section,Sección de testimonios,قسم الشهادة,प्रशंसापत्र अनुभाग,Section témoignage
Video Section,Video Section,Sección de videos,قسم الفيديو,वीडियो अनुभाग,Section vidéo
Partner Section,Partner Section,Sección de pareja,قسم الشريك,भागीदार अनुभाग,Section Partenaire
Footer Section,Footer Section,Sección de pies,قسم تذييل,पाद लेख अनुभाग,Section de pied de page
Breadcrumb Section,Breadcrumb Section,Sección de paneles de pan,قسم الخبز,ब्रेडक्रम्ब अनुभाग,Fil d'Ariane
Gallery Section,Gallery Section,Sección de la galería,قسم المعرض,गैलरी अनुभाग,Section Galerie
Contact Section,Contact Section,Sección de contacto,قسم الاتصال,संपर्क अनुभाग,Rubrique Contact
Category Type,Category Type,Tipo de categoría,نوع الفئة,श्रेणी प्रकार,Type de catégorie
Faq Section,Faq Section,Sección de preguntas frecuentes,قسم الأسئلة الشائعة,अक्सर पूछे जाने वाले प्रश्न अनुभाग,Section FAQ
Login Section,Login Section,Sección de inicio de sesión,قسم تسجيل الدخول,लॉगिन अनुभाग,Section de connexion
Register Section,Register Section,Sección de registro,قسم التسجيل,रजिस्टर अनुभाग,Section Inscription
Setup Pages,Setup Pages,Configuración de páginas,صفحات الإعداد,पेज सेटअप करें,Pages de configuration
Topup,Topup,Topup,فوق حتى,लबालब भरना,Recharge
GDPR Cookie,GDPR Cookie,Galleta GDPR,ملف تعريف الارتباط الناتج المحلي الإجمالي,जीडीपीआर कुकी,Cookie RGPD
Server Info,Server Info,Información del servidor,معلومات الخادم,सर्वर जानकारी,Informations sur le serveur
Clear Cache,Clear Cache,Limpiar cache,مسح ذاكرة التخزين المؤقت,कैश को साफ़ करें,Vider le cache
Fees & Charges,Fees & Charges,Tarifas y cargos,الرسوم والرسوم,फीस एवं शुल्क,Frais et charges
Trade Logs,Trade Logs,Registros de comercio,سجلات التجارة,व्यापार लॉग,Journaux commerciaux
Ongoing Logs,Ongoing Logs,Registros en curso,سجلات مستمرة,चल रहे लॉग,Journaux en cours
Complete Logs,Complete Logs,Registros completos,سجلات كاملة,पूर्ण लॉग,Journaux complets
Close Request Pending,Close Request Pending,Solicitud de cierre pendiente,أغلق الطلب المعلق,बंद करने का अनुरोध लंबित है,Fermer la demande en attente
Closed Logs,Closed Logs,Registros cerrados,سجلات مغلقة,बंद लॉग,Journaux fermés
Marketplace Logs,Marketplace Logs,Registros de mercado,سجلات السوق,बाज़ार लॉग,Journaux du marché
Manual Money Out,Manual Money Out,Dinero manual,يدوي المال,मैनुअल मनी आउट,Retrait manuel de l'argent
Money Out,Money Out,Apagarse,لم يبقى اي من المال,धन ले जाना,Argent sorti
Push Notification,Push Notification,Notificación de inserción,إشعار دفع,सर्वर पुश नोटीफिकेशन,Notification poussée
Setup Notification,Setup Notification,Notificación de configuración,إشعار الإعداد,सेटअप अधिसूचना,Notification de configuration
Send Notification,Send Notification,Enviar notificación,إرسال إشعار,अधिसूचना भेजें,Envoyer une notification
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة,भाषा प्रबंधक,Gestionnaire de langues
Trade Interval Charge and Fees,Trade Interval Charge and Fees,Cargo por intervalo comercial y tarifas,رسوم الفاصل الزمني التجاري والرسوم,व्यापार अंतराल शुल्क और शुल्क,Frais et frais d'intervalle de négociation
Services,Services,Servicios,خدمات,सेवाएं,Services
About Us,About Us,Sobre nosotros,معلومات عنا,हमारे बारे में,À propos de nous
Faqs,Faqs,Preguntas frecuentes,الأسئلة الشائعة,पूछे जाने वाले प्रश्न,FAQ
Web Journal,Web Journal,Diario web,مجلة الويب,वेब जर्नल,Journal Web
Contact Us,Contact Us,Contáctenos,اتصل بنا,हमसे संपर्क करें,Contactez-nous
